time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-17 05:45:37.780,27.4949,85.7729,10,4.3,mb,,166,5.195,0.93,us,us100029x0,2015-05-18 01:43:01.654,"27km ESE of Panao i, Nepal",earthquake
2015-05-16 23:15:25.620,27.6742,85.9187,10,4.4,mb,,148,5.713,0.75,us,us100029vn,2015-05-17 15:44:24.023,"30km S of Kodari, Nepal",earthquake
2015-05-16 11:34:10.190,27.5457,86.0754,10,5.7,mb,,25,5.539,1,us,us100029rn,2015-05-18 11:21:28.248,"24km N of Ramechhap, Nepal",earthquake
2015-05-16 03:39:26.500,27.638,85.705,10,4.8,mb,,79,5.879,0.61,us,us100029pb,2015-05-16 18:33:42.332,"18km E of Banepa, Nepal",earthquake
2015-05-15 01:42:42.910,27.8774,84.6841,10,4.9,mb,,52,1.884,1.21,us,us1000295r,2015-05-16 01:44:49.099,"32km NE of Bhara pur, Nepal",earthquake
2015-05-14 14:36:42.200,28.2685,85.6465,10,3.8,mb,,168,1.074,1.37,us,us1000294u,2015-05-15 01:30:41.924,"34km WNW of Chongdui, China",earthquake
2015-05-13 21:38:06.130,27.7255,86.0674,10,5,mb,,55,0.698,0.92,us,us100028 ,2015-05-15 02:12:39.510,"27km SSE of Kodari, Nepal",earthquake
2015-05-13 10:59:41.940,27.8269,85.9937,10,4,mb,,104,0.735,0.77,us,us20002eza,2015-05-16 20:57:30.619,"14km SSE of Kodari, Nepal",earthquake
2015-05-13 06:53:00.510,27.7323,86.1434,10,4.7,mb,,153,0.633,0.92,us,us20002ew5,2015-05-13 10:37:36.449,"31km SE of Kodari, Nepal",earthquake
2015-05-13 06:37:29.660,27.6333,85.965,10,4.4,mb,,188,4.982,1.36,us,us20002ew1,2015-05-13 14:40:02.159,"35km S of Kodari, Nepal",earthquake
2015-05-13 06:26:07.450,27.6817,86.1372,10,4.8,mb,,153,0.658,0.84,us,us20002ev,2015-05-13 16:10:27.593,"35km SSE of Kodari, Nepal",earthquake
2015-05-13 02:23:11.210,27.7091,86.2105,10,4.1,mb,,171,0.587,1.22,us,us20002ev6,2015-05-14 19:55:49.592,"33km SSW of Zuobude, China",earthquake
2015-05-12 21:25:12.280,27.7767,84.5866,10,5.2,mb,,72,1.978,1.44,us,us20002e n,2015-05-14 02:04:07.468,"18km NE of Bhara pur, Nepal",earthquake
2015-05-12 20:44:28.110,27.8168,86.2219,7.71,4,mb,,168,0.54,1.33,us,us20002esx,2015-05-13 18:16:15.935,"21km SSW of Camgyai, China",earthquake
2015-05-12 20:22:17.890,27.639,85.157,25.12,4.2,mb,,140,1.5,1.73,us,us20002esf,2015-05-13 18:09:20.812,"12km WSW of Kir ipur, Nepal",earthquake
2015-05-12 19:37:40.740,27.7009,86.0964,6.36,4.6,mb,,101,0.683,0.9,us,us20002ert,2015-05-13 17:43:04.158,"31km SSE of Kodari, Nepal",earthquake
2015-05-12 19:34:58.670,27.6791,86.0883,5.98,4.3,mb,,168,0.698,0.57,us,us20002es6,2015-05-13 17:43:33.499,"33km SSE of Kodari, Nepal",earthquake
2015-05-12 17:28:38.160,27.5326,86.1631,2.49,4.8,mb,,44,0.714,0.73,us,us20002eqs,2015-05-13 16:43:55.316,"24km NNE of Ramechhap, Nepal",earthquake
2015-05-12 16:55:23.540,27.7262,85.967,7.77,4.4,mb,,143,0.783,0.56,us,us20002eqh,2015-05-12 19:39:36.303,"25km S of Kodari, Nepal",earthquake
2015-05-12 15:28:20.510,27.7512,86.271,13.73,4.4,mb,,166,0.521,0.91,us,us20002epr,2015-05-12 18:47:30.011,"27km S of Camgyai, China",earthquake
2015-05-12 13:43:17.390,27.7624,85.8593,10,4.4,mb,,172,0.865,1.08,us,us20002enh,2015-05-12 16:35:05.371,"22km SSW of Kodari, Nepal",earthquake
