time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-16T12:39:53.500Z,37.277,-97.6253333,5.48,1.94,ml,19,133,0.03152,0.04,ismpkansas,ismpkansas70161938,2015-12-16T20:49:25.860Z,"12km S of Conway Springs, Kansas",earthquake
2015-12-16T12:39:20.160Z,37.2778333,-97.6248333,5.92,2.04,ml,21,136,0.03166,0.03,ismpkansas,ismpkansas70161933,2015-12-16T20:41:56.242Z,"12km S of Conway Springs, Kansas",earthquake
2015-12-16T09:22:46.050Z,37.2778333,-97.6246667,6.4,1.97,ml,21,136,0.03179,0.04,ismpkansas,ismpkansas70161883,2015-12-16T18:42:03.840Z,"12km S of Conway Springs, Kansas",earthquake
2015-12-14T08:24:12.860Z,37.0405,-97.8031667,3.81,1.97,ml,18,74,0.03094,0.04,ismpkansas,ismpkansas70161638,2015-12-15T22:00:07.720Z,"17km W of Caldwell, Kansas",earthquake
2015-12-13T04:13:08.340Z,37.0353333,-97.9346667,5.72,1.97,ml,18,108,0.08159,0.05,ismpkansas,ismpkansas70161403,2015-12-15T21:06:06.300Z,"15km SSE of Anthony, Kansas",earthquake
2015-12-12T23:41:07.160Z,36.9633333,-97.9368333,3.03,2.02,ml,19,69,0.02196,0.05,ismpkansas,ismpkansas70161358,2015-12-15T20:41:49.493Z,"22km SSE of Anthony, Kansas",earthquake
2015-12-12T17:24:34.880Z,37.1526667,-98.0083333,6.51,2.17,ml,20,81,0.07523,0.04,ismpkansas,ismpkansas70161298,2015-12-18T16:24:03.713Z,"2km E of Anthony, Kansas",earthquake
2015-12-12T11:24:45.900Z,37.1526667,-98.0065,6.4,1.97,ml,20,80,0.07658,0.04,ismpkansas,ismpkansas70161238,2015-12-15T01:24:41.870Z,"2km E of Anthony, Kansas",earthquake
2015-12-12T08:42:15.500Z,37.1531667,-98.0066667,6.24,1.81,ml,20,80,0.07665,0.04,ismpkansas,ismpkansas70161223,2015-12-17T23:20:40.880Z,"2km E of Anthony, Kansas",earthquake
2015-12-11T05:05:33.770Z,37.059,-97.9388333,6.48,2.31,ml,20,77,0.07272,0.03,ismpkansas,ismpkansas70161053,2015-12-15T02:11:07.325Z,"13km SE of Anthony, Kansas",earthquake
2015-12-11T00:11:06.990Z,37.0591667,-97.9388333,6.03,2.23,ml,20,77,0.07261,0.03,ismpkansas,ismpkansas70160968,2015-12-15T02:11:42.120Z,"13km SE of Anthony, Kansas",earthquake
2015-12-10T22:05:38.410Z,37.0603333,-97.9345,5.3,1.88,ml,20,76,0.06929,0.05,ismpkansas,ismpkansas70160928,2015-12-14T23:51:11.380Z,"13km SE of Anthony, Kansas",earthquake
2015-12-10T22:05:04.890Z,37.0586667,-97.9363333,6,2.16,ml,20,77,0.0715,0.03,ismpkansas,ismpkansas70160923,2015-12-14T23:13:53.487Z,"13km SE of Anthony, Kansas",earthquake
2015-12-10T21:54:11.060Z,37.0583333,-97.9355,6.04,2.13,ml,20,76,0.07126,0.04,ismpkansas,ismpkansas70160908,2015-12-22T01:57:41.479Z,"13km SE of Anthony, Kansas",earthquake
2015-12-10T21:52:22.790Z,37.0585,-97.937,6.06,1.97,ml,20,77,0.072,0.04,ismpkansas,ismpkansas70160903,2015-12-14T22:41:28.560Z,"13km SE of Anthony, Kansas",earthquake
2015-12-09T21:00:14.330Z,37.2256667,-98.016,4.24,2.11,ml,20,100,0.03598,0.04,ismpkansas,ismpkansas70160758,2015-12-14T22:11:11.830Z,"6km S of Harper, Kansas",earthquake
2015-12-09T15:16:48.590Z,37.1856667,-97.9658333,3.89,2.14,ml,19,58,0.04118,0.04,ismpkansas,ismpkansas70160713,2015-12-10T01:04:44.016Z,"6km ENE of Anthony, Kansas",earthquake
2015-12-08T00:30:30.440Z,36.9386667,-97.8165,6.94,3.05,ml,17,124,0.09361,0.04,ismpkansas,ismpkansas70163978,2015-12-27T21:46:52.405Z,"17km NNW of Medford, Oklahoma",earthquake
