2015/04/26	00:32:00	,	27.84	,	85.12	,	0	,	4	,	nsc	,	eq
2015/04/26	00:15:00	,	27.67	,	85.28	,	0	,	4	,	nsc	,	eq
2015/04/25	09:43:00	,	28.29	,	85.16	,	0	,	4.6	,	nsc	,	eq
2015/04/25	09:30:00	,	28	,	85.6	,	0	,	5.5	,	nsc	,	eq
2015/04/25	09:03:00	,	27.91	,	89.33	,	0	,	5.3	,	nsc	,	eq
2015/04/25	08:55:00	,	27.65	,	85.63	,	0	,	5.7	,	nsc	,	eq
2015/04/25	08:29:00	,	28.18	,	84.95	,	0	,	5.2	,	nsc	,	eq
2015/04/25	08:20:00	,	27.9	,	84.86	,	0	,	5.1	,	nsc	,	eq
2015/04/25	08:17:00	,	27.78	,	85.84	,	0	,	5.2	,	nsc	,	eq
2015/04/25	07:08:00	,	28.2	,	85.75	,	0	,	5.3	,	nsc	,	eq
2015/04/25	06:56:00	,	28.13	,	85.65	,	0	,	5.7	,	nsc	,	eq
2015/04/25	06:45:00	,	28.28	,	84.72	,	0	,	6.6	,	nsc	,	eq
2015/04/25	23:48:00	,	28.05	,	85.34	,	0	,	4	,	nsc	,	eq
2015/04/25	23:41:00	,	27.67	,	86.07	,	0	,	4.5	,	nsc	,	eq
2015/04/25	23:40:00	,	27.69	,	85.25	,	0	,	4	,	nsc	,	eq
2015/04/25	23:16:00	,	27.5	,	85.02	,	0	,	5.5	,	nsc	,	eq
2015/04/25	21:07:00	,	27.82	,	85.8	,	0	,	4.8	,	nsc	,	eq
2015/04/25	21:04:00	,	27.98	,	84.99	,	0	,	4	,	nsc	,	eq
2015/04/25	20:32:00	,	27.6	,	85.96	,	0	,	4.8	,	nsc	,	eq
2015/04/25	20:29:00	,	28.24	,	84.82	,	0	,	4.3	,	nsc	,	eq
2015/04/25	20:23:00	,	28.25	,	85.83	,	0	,	4	,	nsc	,	eq
2015/04/25	20:11:00	,	27.93	,	85.56	,	0	,	4.4	,	nsc	,	eq
2015/04/25	20:07:00	,	28.14	,	84.71	,	0	,	4.2	,	nsc	,	eq
2015/04/25	20:04:00	,	28.05	,	85.35	,	0	,	4	,	nsc	,	eq
2015/04/25	19:44:00	,	27.93	,	85.56	,	0	,	4.1	,	nsc	,	eq
