time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-27 12:35:52.990,26.827,88.1055,29.42,5.1,mb,,34,3.595,0.67,us,us200029k7,2015-05-01 16:15:00.377,"10km SW of Mirik, India",earthquake
2015-04-27 00:39:16.340,27.6128,84.9165,10,4.2,mb,,153,6.538,0.65,us,us200029h7,2015-04-27 15:36:51.066,"23km NNW of Hi ura, Nepal",earthquake
2015-04-26 22:32:34.010,27.4597,85.6194,10,4.6,mb,,150,5.896,1.19,us,us200029gc,2015-04-27 18:25:19.300,"17km SE of Panao i, Nepal",earthquake
2015-04-26 20:39:20.740,27.9696,85.7964,10,4.4,mb,,125,5.921,1.14,us,us200029fa,2015-04-27 19:26:12.632,"15km W of Kodari, Nepal",earthquake
2015-04-26 18:54:49.580,28.0627,84.7757,10,4.2,mb,,146,5.803,1.1,us,us200029ev,2015-04-27 02:57:32.417,"43km ESE of Lamjung, Nepal",earthquake
2015-04-26 16:26:05.310,27.7612,85.7704,10,5.3,mwb,,32,5.086,0.65,us,us200029ea,2015-04-27 15:17:42.141,"25km ENE of Nagarko , Nepal",earthquake
2015-04-26 14:57:05.620,28.1203,84.6702,17.6,4.4,mb,,141,5.875,0.6,us,us200029dx,2015-04-26 18:29:20.689,"31km ESE of Lamjung, Nepal",earthquake
2015-04-26 14:44:49.360,27.532,85.7493,10,4.6,mb,,150,5.198,0.46,us,us200029dv,2015-04-26 18:15:19.177,"24km ESE of Panao i, Nepal",earthquake
2015-04-26 13:11:15.030,27.7571,85.3745,10,4.5,mb,,79,5.41,0.62,us,us200029dc,2015-04-26 17:04:46.116,"8km NE of Ka hmandu, Nepal",earthquake
2015-04-26 08:46:16.890,27.8449,85.6858,10,4.5,mb,,166,5.966,0.74,us,us200029c5,2015-04-26 17:07:07.594,"21km NE of Nagarko , Nepal",earthquake
2015-04-26 08:40:55.220,27.591,85.6782,10,4.6,mb,,99,5.887,0.57,us,us200029c4,2015-04-26 15:33:43.900,"16km E of Panao i, Nepal",earthquake
2015-04-26 07:36:26.360,27.7189,85.929,10,4.7,mb,,166,5.72,0.75,us,us200029by,2015-04-26 16:48:40.225,"25km S of Kodari, Nepal",earthquake
2015-04-26 07:26:04.420,27.707,85.8284,10,5,mb,,85,5.799,0.49,us,us200029bx,2015-04-26 19:51:55.510,"29km SSW of Kodari, Nepal",earthquake
2015-04-26 07:09:10.010,27.782,85.9971,17.26,6.7,mww,,19,4.894,0.99,us,us200029b ,2015-05-01 17:40:32.266,"19km SSE of Kodari, Nepal",earthquake
2015-04-26 04:58:39.350,27.8362,84.6866,10,4.4,mb,,164,6.798,1.24,us,us200029bl,2015-04-26 15:19:14.517,"30km NE of Bhara pur, Nepal",earthquake
2015-04-26 02:48:39.050,28.156,84.6095,10,4.6,mb,,125,5.916,0.86,us,us200029b1,2015-04-26 05:22:46.152,"24km ESE of Lamjung, Nepal",earthquake
2015-04-25 23:41:52.730,27.5598,85.9359,10,4.5,mb,,86,5.66,0.72,us,us2000299x,2015-04-26 07:49:45.703,"29km NNW of Ramechhap, Nepal",earthquake
2015-04-25 23:16:15.070,27.8052,84.8744,10,5.6,mb,,35,6.63,0.73,us,us2000299v,2015-04-29 18:11:32.037,"41km WNW of Kir ipur, Nepal",earthquake
2015-04-25 23:12:52.030,27.5606,86.0062,10,4.3,mb,,160,4.981,0.25,us,us200029bb,2015-04-26 07:15:26.607,"27km NNW of Ramechhap, Nepal",earthquake
2015-04-25 21:07:17.930,27.732,85.7266,10,4.7,mb,,89,5.893,0.54,us,us20002993,2015-04-26 17:48:53.501,"20km E of Nagarko , Nepal",earthquake
2015-04-25 20:32:48.120,27.5632,85.7583,10,4.4,mb,,105,5.177,0.68,us,us2000298x,2015-04-26 04:35:28.908,"24km E of Panao i, Nepal",earthquake
2015-04-25 18:58:34.260,27.6781,85.3739,10,4.2,mb,,102,5.441,0.92,us,us20002984,2015-04-28 16:43:00.572,"5km ESE of Ka hmandu, Nepal",earthquake
2015-04-25 17:42:50.930,28.2621,85.7739,10,5.4,mb,,37,4.904,0.88,us,us2000297g,2015-04-28 15:59:08.846,"22km WNW of Chongdui, China",earthquake
2015-04-25 16:27:21.780,27.9087,85.6175,10,4.9,mb,,79,6.045,0.95,us,us20002970,2015-04-26 11:43:22.702,"23km NNE of Nagarko , Nepal",earthquake
2015-04-25 14:10:02.830,27.5843,85.6622,10,4.6,mb,,86,5.898,0.87,us,us20002965,2015-04-25 21:31:26.595,"14km E of Panao i, Nepal",earthquake
2015-04-25 13:36:14.640,27.7476,85.89,10,4.6,mb,,185,5.762,0.8,us,us2000295x,2015-04-25 21:38:56.326,"23km SSW of Kodari, Nepal",earthquake
2015-04-25 13:30:28.240,28.1078,85.0726,10,4.6,mb,,135,6.566,1.23,us,us2000295v,2015-04-25 14:15:26.303,"51km NNW of Ka hmandu, Nepal",earthquake
2015-04-25 12:44:04.400,28.1513,84.6587,10,5.2,mb,,37,6.924,1.13,us,us2000295i,2015-04-26 12:40:03.256,"29km ESE of Lamjung, Nepal",earthquake
2015-04-25 12:17:55.920,28.0049,85.5638,10,4.5,mb,,98,5.164,0.74,us,us2000295f,2015-04-25 13:20:35.860,"32km N of Nagarko , Nepal",earthquake
2015-04-25 12:01:13.610,28.0438,85.4854,10,4.2,mb,,183,6.204,0.56,us,us2000295a,2015-04-25 13:21:03.619,"36km N of Nagarko , Nepal",earthquake
2015-04-25 10:53:43.870,27.7719,85.8701,10,4.4,mb,,185,5.788,0.55,us,us2000294y,2015-04-25 18:56:25.081,"21km SSW of Kodari, Nepal",earthquake
2015-04-25 10:40:35.880,27.5667,85.8384,10,4.8,mb,,166,5.112,0.62,us,us2000294x,2015-04-25 11:18:26.622,"32km E of Panao i, Nepal",earthquake
2015-04-25 10:23:19.070,27.8732,85.762,10,4.2,mb,,143,5.913,0.61,us,us2000294u,2015-04-25 17:22:19.813,"20km WSW of Kodari, Nepal",earthquake
2015-04-25 09:30:29.590,27.9938,85.437,10,5,mb,,79,6.225,0.91,us,us2000294i,2015-04-26 09:54:31.465,"31km NNW of Nagarko , Nepal",earthquake
2015-04-25 09:17:02.710,28.4282,87.3382,10,5.7,mb,,36,4.936,0.81,us,us2000294g,2015-04-26 09:53:32.472,"33km SE of Xegar, China",earthquake
2015-04-25 09:03:15.420,27.8741,85.3069,10,4.9,mb,,82,6.291,0.65,us,us2000294e,2015-04-25 17:06:53.495,"19km N of Ka hmandu, Nepal",earthquake
2015-04-25 08:55:55.730,27.6364,85.5029,10,5.3,mb,,42,6.049,0.81,us,us2000294d,2015-04-25 09:42:00.034,"1km WNW of Banepa, Nepal",earthquake
2015-04-25 08:49:09.050,27.7579,84.8874,10,4.4,mb,,146,5.811,0.84,us,us2000294a,2015-04-26 05:28:54.972,"39km NNW of Hi ura, Nepal",earthquake
2015-04-25 08:29:24.360,27.9903,84.7097,10,5,mb,,90,6.827,0.62,us,us20002946,2015-04-25 10:44:04.814,"41km SE of Lamjung, Nepal",earthquake
2015-04-25 08:20:11.980,27.9528,85.7219,10,4.7,mb,,55,5.976,0.91,us,us20002944,2015-04-25 16:25:18.399,"22km W of Kodari, Nepal",earthquake
2015-04-25 08:16:59.090,27.6733,85.6878,10,4.9,mb,,89,5.905,0.52,us,us20002942,2015-04-25 16:19:39.879,"17km ENE of Banepa, Nepal",earthquake
2015-04-25 08:05:37.730,27.7307,85.7304,10,4.6,mb,,105,5.13,0.61,us,us2000293v,2015-04-25 08:57:17.865,"20km E of Nagarko , Nepal",earthquake
2015-04-25 07:47:01.690,27.8549,85.5572,10,5,mb,,79,6.076,0.81,us,us2000293p,2015-04-25 08:52:38.183,"15km NNE of Nagarko , Nepal",earthquake
2015-04-25 07:39:33.910,27.6659,85.7483,10,4.5,mb,,99,5.142,0.68,us,us2000293l,2015-04-25 15:42:21.269,"22km E of Banepa, Nepal",earthquake
2015-04-25 07:16:56.830,28.002,85.2694,10,4.8,mb,,127,5.41,0.98,us,us2000293d,2015-04-25 15:20:10.173,"33km N of Ka hmandu, Nepal",earthquake
2015-04-25 07:13:44.320,27.5458,85.5502,10,4.8,mb,,105,5.352,0.68,us,us2000293i,2015-04-25 07:55:23.304,"5km SE of Panao i, Nepal",earthquake
2015-04-25 07:07:59.620,27.7278,85.9185,10,5,mb,,86,12.38,0.78,us,us20002939,2015-04-25 08:11:43.314,"25km S of Kodari, Nepal",earthquake
2015-04-25 06:56:34.450,27.91,85.6501,10,5.5,mb,,55,5.127,1.03,us,us20002934,2015-04-26 17:09:07.526,"25km NNE of Nagarko , Nepal",earthquake
2015-04-25 06:45:21.380,28.1927,84.8645,14.62,6.6,mb,,16,5.69,1.17,us,us2000292y,2015-04-29 12:50:22.749,"49km E of Lamjung, Nepal",earthquake
2015-04-25 06:37:58.720,27.7239,85.8182,9.85,5.1,mb,,76,5.062,0.67,us,us2000292w,2015-04-25 16:37:33.121,"28km SSW of Kodari, Nepal",earthquake
2015-04-25 06:11:26.270,28.1473,84.7079,15,7.8,mww,,35,5.835,1.19,us,us20002926,2015-05-01 17:48:44.290,"34km ESE of Lamjung, Nepal",earthquake
