time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-30 17:34:37.350,27.5248,85.3757,10,3.8,mb,,178,5.501,1.07,us,us20002aj,2015-05-01 17:35:24.033,"14km WSW of Panao i, Nepal",earthquake
2015-04-30 00:37:11.110,28.0116,84.6535,10,4.2,mb,,99,6.881,1.18,us,us20002acq,2015-04-30 22:49:10.300,"35km SE of Lamjung, Nepal",earthquake
2015-04-29 22:10:52.170,28.4134,87.2704,10,4.5,mb,,91,4.977,0.91,us,us20002abh,2015-04-30 06:17:22.763,"30km SE of Xegar, China",earthquake
2015-04-29 17:16:35.370,27.8505,85.6739,10,4.3,mb,,143,5.129,1.2,us,us20002a8d,2015-04-30 09:02:47.370,"21km NE of Nagarko , Nepal",earthquake
2015-04-29 11:27:44.810,27.8566,85.4211,10,4.4,mb,,128,6.19,0.58,us,us20002a59,2015-04-29 21:33:50.134,"18km NNW of Nagarko , Nepal",earthquake
2015-04-27 23:20:28.110,27.8836,85.1996,10,4.3,mb,,101,5.508,0.98,us,us200029qa,2015-04-28 17:01:35.496,"23km NNW of Ka hmandu, Nepal",earthquake
2015-04-27 21:27:41.510,27.7555,85.6771,10,4.3,mb,,170,5.942,0.51,us,us200029p0,2015-04-28 11:03:32.607,"16km ENE of Nagarko , Nepal",earthquake
2015-04-27 21:14:57.850,27.685,85.2485,10,3.9,mb,,158,5.541,0.78,us,us200029pj,2015-04-28 01:15:11.777,"2km WNW of Kir ipur, Nepal",earthquake
2015-04-27 18:59:56.750,28.0036,84.7534,20.01,4.8,mb,,60,5.84,0.69,us,us200029ma,2015-04-28 12:35:39.663,"44km ESE of Lamjung, Nepal",earthquake
2015-04-27 15:51:46.230,27.6385,85.0551,10,4.5,mb,,140,5.717,0.81,us,us200029lc,2015-04-28 04:48:22.758,"22km WSW of Kir ipur, Nepal",earthquake
2015-04-27 14:57:00.230,27.824,85.9208,10,4.1,mb,,162,4.938,0.69,us,us200029la,2015-04-28 07:58:38.733,"14km S of Kodari, Nepal",earthquake
